7-Zip 19.00 (x64),Igor Pavlov,19.00
Epic Games Launcher,"Epic Games, Inc.",1.1.167.0
Battlefield 4™,Electronic Arts,1.8.2.48475
Dell Display Manager,EnTech Taiwan,1.40
Autodesk Material Library Medium Resolution Image Library 2020,Autodesk,18.11.1.0
UBitMenu RU,UBit Schweiz AG,01.04
Autodesk Material Library 2020,Autodesk,18.11.1.0
Autodesk App Manager 2016-2019,Autodesk,2.5.0
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,Microsoft Corporation,11.0.61030.0
Microsoft XNA Framework Redistributable 4.0 Refresh,Microsoft Corporation,4.0.30901.0
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,Microsoft Corporation,10.0.40219
Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,6.0.1.8581
Autodesk AutoCAD 2019.1.2 Update,Autodesk,23.0.162.0
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,Microsoft Corporation,12.0.30501.0
Brother MFL-Pro Suite DCP-L2520DW series,"Brother Industries, Ltd.",1.0.2.0
Python Launcher,Python Software Foundation,3.7.6565.0
FARO LS 1.1.700.0 (64bit),FARO Scanner Production,7.0.0.23
Discord,Discord Inc.,0.0.305
GitKraken,"Axosoft, LLC",6.2.1
Postman-win64-7.10.0,Postman,7.10.0
JetBrains Toolbox,JetBrains,1.12.4481
µTorrent,BitTorrent Inc.,3.5.5.45146
Yandex, «ЯНДЕКС»,19.10.0.1522
Python 3.7.2 (32-bit),Python Software Foundation,3.7.2150.0
Qt,The Qt Company Ltd,%MAINTENANCE_TOOL_VERSION%
Telegram Desktop version 1.8.15,Telegram FZ-LLC,1.8.15
